"city_state","Agency Name","Murder","Rape","Robbery","Aggravated Assault","Burglary","Theft","Motor Vehicle Theft","Year","Month","State","vio_crime","prop_crime","Agency","Source.Link","Source.Type","Source.Method","Population","pop23","Latitude","Longitude","Comment","pub_agency_name","state_abbr","region_name","division_name","population"
"Vallejo, CA","Vallejo",1,9,33,45,213,100,95,2017,1,"CA",88,408,"Vallejo","https://www.vallejopd.net/public_information/crime_data/operations_bureau_reports/operations_bureau_2024_reports","Agency Aggregated","Open Source",123940,122419,NA,NA,"","Vallejo","CA","West","Pacific",122419
"Victoria, TX","Victoria",0,5,7,12,45,150,8,2017,1,"TX",24,203,"Victoria","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",65165,65298,NA,NA,"","Victoria","TX","South","West South Central",65298
"Virginia Beach, VA","Virginia Beach",1,3,13,6,34,449,26,2024,11,"VA",23,509,"Virginia Beach","https://vsp.virginia.gov/","State UCR","Provided by State UCR Program",457556,453991,NA,NA,"","Virginia Beach","VA","South","South Atlantic",453991
"Waco, TX","Waco",0,7,6,25,81,343,10,2017,1,"TX",38,434,"Waco","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",140911,145741,NA,NA,"","Waco","TX","South","West South Central",145741
"Waltham, MA","Waltham",0,1,1,8,8,49,3,2018,5,"MA",10,60,"Waltham","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",63525,63797,NA,NA,"","Waltham","MA","Northeast","New England",63797
"Warren, MI","Warren",0,7,3,51,34,151,54,2022,10,"MI",61,239,"Warren","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,136121,NA,NA,"","Warren","MI","Midwest","East North Central",136121
"Warwick, RI","Warwick",0,2,0,8,16,105,5,2017,1,"RI",10,126,"Warwick","https://riucr.nibrs.com/AdvancedSearch/AdvancedSearch","State UCR","Open Source",82966,83369,NA,NA,"","Warwick","RI","Northeast","New England",83369
"Washington, DC","Washington",8,22,212,184,153,2273,169,2017,1,"DC",426,2595,"Washington","https://crimecards.dc.gov/","Agency RMS","Open Source",671803,678972,NA,NA,"","Washington","DC","South","South Atlantic",678972
"Waterbury, CT","Waterbury",2,4,13,12,40,168,61,2018,11,"CT",31,269,"Waterbury","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",113464,115380,NA,NA,"","Waterbury","CT","Northeast","New England",115380
"Waterford Township, MI","Waterford Township",0,1,1,17,8,46,3,2022,7,"MI",19,57,"Waterford Township","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,69153,NA,NA,"","Waterford Township","MI","Midwest","East North Central",69153
"West Bloomfield Township, MI","West Bloomfield Township",0,0,0,1,3,27,1,2017,2,"MI",1,31,"West Bloomfield Township","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,64904,NA,NA,"","West Bloomfield Township","MI","Midwest","East North Central",64904
"West Chester Township, OH","West Chester Township",0,2,1,0,6,73,3,2023,2,"OH",3,82,"West Chester Township","https://ocjs.ohio.gov/","State UCR","Provided by State UCR Program",62374,62860,NA,NA,"","West Chester Township","OH","Midwest","East North Central",62860
"West Hartford, CT","West Hartford",0,0,1,1,6,102,7,2023,2,"CT",2,115,"West Hartford","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",63934,64423,NA,NA,"","West Hartford","CT","Northeast","New England",64423
"West Haven, CT","West Haven",0,1,2,1,6,26,6,2024,11,"CT",4,38,"West Haven","https://ct.beyond2020.com/ct_public/Dim/dimension.aspx","State UCR","Open Source",55133,54791,NA,NA,"","West Haven","CT","Northeast","New England",54791
"Westland, MI","Westland",0,3,4,14,20,75,10,2018,1,"MI",21,105,"Westland","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,83463,NA,NA,"","Westland","MI","Midwest","East North Central",83463
"Westminster, CO","Westminster",0,7,2,17,46,240,61,2017,5,"CO",26,347,"Westminster","https://coloradocrimestats.state.co.us/public/View/dispview.aspx","State UCR","Open Source",112844,113660,NA,NA,"","Westminster","CO","West","Mountain",113660
"Weymouth, MA","Weymouth",0,2,0,4,15,15,2,2024,11,"MA",6,32,"Weymouth","https://www.mass.gov/crime-statistics","State UCR","Provided by State UCR Program",58231,57725,NA,NA,"","Weymouth","MA","Northeast","New England",57725
"Wichita Falls, TX","Wichita Falls",0,5,11,17,79,162,21,2017,1,"TX",33,262,"Wichita Falls","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",103337,102740,NA,NA,"","Wichita Falls","TX","South","West South Central",102740
"Woodbury, MN","Woodbury",0,0,1,1,8,52,2,2018,6,"MN",2,62,"Woodbury","https://cde.state.mn.us/","State UCR","Open Source",78531,80153,NA,NA,"","Woodbury","MN","Midwest","West North Central",80153
"Wylie, TX","Wylie",0,2,1,1,5,31,2,2017,1,"TX",4,38,"Wylie","https://txucr.nibrs.com/SRSReport/CrimeTrends","State UCR","Open Source",60910,62539,NA,NA,"","Wylie","TX","South","West South Central",62539
"Wyoming, MI","Wyoming",0,9,3,26,16,75,13,2018,2,"MI",38,104,"Wyoming","https://www.michigan.gov/msp/divisions/cjic/dashboard-portal/crime-dashboard","State UCR","Open Source",NA,76712,NA,NA,"","Wyoming","MI","Midwest","East North Central",76712
"York, PA","York",0,3,5,13,6,51,19,2022,2,"PA",21,76,"York","https://www.ucr.pa.gov/PAUCRSPUBLIC/SRSReport/CrimeTrends","State UCR","Open Source",44901,44901,NA,NA,"","York","PA","Northeast","Middle Atlantic",44876
"Yuma, AZ","Yuma",0,3,4,27,36,132,14,2020,2,"AZ",34,182,"Yuma","https://azcrimestatistics.azdps.gov/","State UCR","Open Source",98164,99610,NA,NA,"","Yuma","AZ","West","Mountain",99610
